Gene,Protein.class,Disease_Related,Drug_Target,Enzyme,Kinase,Peptidase,GPCR,Transcription_Factor,Membrane_Protein
MYH13,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
ADIPOR2,"Predicted membrane proteins, Transporters","","","","","","","",Y
CDKL3,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,Y,"","","",""
UPP2,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
PRSS21,"Enzymes, Plasma proteins, Predicted intracellular proteins","","",Y,"",Y,"","",""
MARK4,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins","","",Y,Y,"","","",Y
PROM1,"CD markers, Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
CCDC124,Predicted intracellular proteins,"","","","","","","",""
CEACAM21,Predicted membrane proteins,"","","","","","","",Y
PAFAH1B1,"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
NOS2,"Cancer-related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","",Y,Y,"","","","",""
DNAH9,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
KIAA0100,"Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
SLC13A2,"Metabolic proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
GAS7,"Cancer-related genes, Disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
TRAPPC6A,Predicted intracellular proteins,"","","","","","","",""
MATK,"Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,Y,"","","",""
CEACAM7,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
CD79B,"Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins",Y,Y,"","","","","",Y
SCN4A,"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins, Transporters, Voltage-gated ion channels",Y,Y,"","","","","",Y
ST7L,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
TKTL1,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
PAX6,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors",Y,"","","","","",Y,Y
RPUSD1,Predicted intracellular proteins,"","","","","","","",""
RHBDF1,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins","","",Y,"",Y,"","",Y
LUC7L,Predicted intracellular proteins,"","","","","","","",""
CACNA2D2,"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Transporters",Y,Y,"","","","","",""
BAIAP3,Predicted intracellular proteins,"","","","","","","",""
TSR3,Predicted intracellular proteins,"","","","","","","",""
PIGQ,"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",Y,"","","","","","",Y
CRAMP1,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
TEAD3,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
SELE,"Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
DNAJC11,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
FMO3,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Y,Y,Y,"","","","",Y
MYLIP,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","","",Y,"","","","",""
NOX1,"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
E2F2,"Plasma proteins, Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
