Gene,Protein.class,Disease_Related,Drug_Target,Enzyme,Kinase,Peptidase,GPCR,Transcription_Factor,Membrane_Protein
SKOR1,Predicted intracellular proteins,"","","","","","","",""
CATSPER4,"Predicted membrane proteins, Transporters, Voltage-gated ion channels","","","","","","","",Y
PRELP,"Plasma proteins, Predicted secreted proteins","","","","","","","",""
PLA2G2E,"Enzymes, Metabolic proteins, Predicted secreted proteins, RAS pathway related proteins","","",Y,"","","","",""
ZNF548,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
MTF1,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
TMCO2,Predicted membrane proteins,"","","","","","","",Y
SHISA6,"Predicted membrane proteins, Transporters","","","","","","","",Y
TMEM201,Predicted membrane proteins,"","","","","","","",Y
NHLRC3,"Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
HMX2,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
SNTN,Predicted intracellular proteins,"","","","","","","",""
ZDHHC11,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins","","",Y,"","","","",Y
CALHM6,"Predicted intracellular proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
CNR2,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters","",Y,"","","",Y,"",Y
SLX4,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
ENTPD8,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins","","",Y,"","","","",Y
RPL14,"Plasma proteins, Predicted intracellular proteins, Ribosomal proteins","","","","","","","",""
BEND4,Predicted intracellular proteins,"","","","","","","",""
FAM78B,Predicted intracellular proteins,"","","","","","","",""
ZNF563,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
TMC3,Predicted membrane proteins,"","","","","","","",Y
FBF1,Predicted intracellular proteins,"","","","","","","",""
KLRG2,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
ASTL,Predicted intracellular proteins,"","","","","","","",""
MSL1,Predicted intracellular proteins,"","","","","","","",""
AC099489.1,Predicted intracellular proteins,"","","","","","","",""
LRRK2,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,Y,"","","",""
BSX,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
GJB3,"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
INSYN2A,Predicted intracellular proteins,"","","","","","","",""
TRMT2B,"Enzymes, Predicted intracellular proteins","","",Y,"","","","",""
HACD4,"Enzymes, Metabolic proteins, Predicted membrane proteins","","",Y,"","","","",Y
CFAP126,Predicted intracellular proteins,"","","","","","","",""
NYX,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
FAM120AOS,Predicted intracellular proteins,"","","","","","","",""
UTS2B,Predicted secreted proteins,"","","","","","","",""
C9orf152,Predicted intracellular proteins,"","","","","","","",""
NOC2L,Predicted intracellular proteins,"","","","","","","",""
MSANTD1,Predicted intracellular proteins,"","","","","","","",""
AADACL3,Predicted membrane proteins,"","","","","","","",Y
NELFB,Predicted intracellular proteins,"","","","","","","",""
SLC15A5,"Predicted membrane proteins, Transporters","","","","","","","",Y
LIPI,"Disease related genes, Predicted intracellular proteins, Predicted secreted proteins",Y,"","","","","","",""
LRRC66,Predicted membrane proteins,"","","","","","","",Y
ZNF292,"Plasma proteins, Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
HUS1B,Predicted intracellular proteins,"","","","","","","",""
KCTD21,Predicted intracellular proteins,"","","","","","","",""
SBSN,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
ADAT2,"Enzymes, Predicted intracellular proteins","","",Y,"","","","",""
KIR2DL4,"CD markers, Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
MAGEB16,Predicted intracellular proteins,"","","","","","","",""
VHLL,Predicted intracellular proteins,"","","","","","","",""
DUSP21,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
ZNF567,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
NDUFA4,"Disease related genes, Metabolic proteins, Predicted membrane proteins",Y,"","","","","","",Y
ANKDD1B,Predicted intracellular proteins,"","","","","","","",""
ALKBH2,"Enzymes, Predicted intracellular proteins","","",Y,"","","","",""
RNFT1,"Enzymes, Predicted membrane proteins","","",Y,"","","","",Y
RNF222,Predicted membrane proteins,"","","","","","","",Y
CGB5,Predicted secreted proteins,"","","","","","","",""
RELN,"Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins",Y,"","","","","","",""
FAM111B,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
APOD,"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins","","","","","","","",""
H1-0,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
GAGE2A,Predicted intracellular proteins,"","","","","","","",""
LITAF,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Y,"","","","","","",Y
VSTM1,"Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","","","","","","","",Y
TMEM120A,"Predicted intracellular proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
ARID2,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors",Y,"","","","","",Y,""
FAM25G,Predicted intracellular proteins,"","","","","","","",""
SF3B3,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
PRSS48,"Enzymes, Predicted membrane proteins, Predicted secreted proteins","","",Y,"",Y,"","",Y
IL1RAPL2,"Enzymes, Predicted membrane proteins","","",Y,"","","","",Y
BLOC1S3,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
SP6,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ANKRD34B,Predicted intracellular proteins,"","","","","","","",""
PLAC9,"Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
FAM47B,Predicted intracellular proteins,"","","","","","","",""
NKAPL,Predicted intracellular proteins,"","","","","","","",""
FSCB,Predicted intracellular proteins,"","","","","","","",""
CLDN4,"Cancer-related genes, Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
ZNF573,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
GRAPL,Predicted intracellular proteins,"","","","","","","",""
FAM47E,Predicted intracellular proteins,"","","","","","","",""
JPT1,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
ZNF527,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ZAR1L,Predicted intracellular proteins,"","","","","","","",""
KRTAP10-12,Predicted intracellular proteins,"","","","","","","",""
S100A13,"Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
ZNF33A,"Plasma proteins, Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
OR14I1,"G-protein coupled receptors, Predicted membrane proteins","","","","","",Y,"",Y
KRT77,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
PCDH18,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
DCAF8L2,Predicted intracellular proteins,"","","","","","","",""
ZNF600,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
BTBD8,Predicted intracellular proteins,"","","","","","","",""
MAOA,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted membrane proteins",Y,Y,Y,"","","","",Y
C15orf61,"Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
NUGGC,Predicted intracellular proteins,"","","","","","","",""
TSPYL1,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
SPANXN3,Predicted intracellular proteins,"","","","","","","",""
TRIM64B,Predicted intracellular proteins,"","","","","","","",""
PNRC2,Predicted intracellular proteins,"","","","","","","",""
DRICH1,Predicted intracellular proteins,"","","","","","","",""
GJB5,"Cancer-related genes, Predicted membrane proteins","","","","","","","",Y
FHIT,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
ALKAL2,"Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
ZKSCAN3,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
FOXR2,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
RRP7A,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
LIN54,Predicted intracellular proteins,"","","","","","","",""
FAM53B,Predicted intracellular proteins,"","","","","","","",""
FAM180A,Predicted secreted proteins,"","","","","","","",""
BNIP5,Predicted intracellular proteins,"","","","","","","",""
SPANXN4,Predicted intracellular proteins,"","","","","","","",""
S100A14,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
KAZN,Predicted intracellular proteins,"","","","","","","",""
SLC35E2B,"Predicted membrane proteins, Transporters","","","","","","","",Y
TOGARAM2,Predicted intracellular proteins,"","","","","","","",""
SPATA31D4,Predicted membrane proteins,"","","","","","","",Y
NEMP2,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
ALG1L,"Metabolic proteins, Predicted intracellular proteins","","","","","","","",""
KIAA0408,Predicted intracellular proteins,"","","","","","","",""
GSPT2,Predicted intracellular proteins,"","","","","","","",""
TBC1D28,Predicted intracellular proteins,"","","","","","","",""
C8orf76,Predicted intracellular proteins,"","","","","","","",""
CXCL17,Predicted secreted proteins,"","","","","","","",""
OTUD6A,"Enzymes, Predicted intracellular proteins","","",Y,"","","","",""
HMGB1,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
MMP23B,"Enzymes, Predicted intracellular proteins, Transporters","","",Y,"",Y,"","",""
SH2D5,Predicted intracellular proteins,"","","","","","","",""
ZFP92,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
NCR1,"CD markers, Predicted membrane proteins","","","","","","","",Y
RASSF10,Predicted intracellular proteins,"","","","","","","",""
GJB4,"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
OR2L13,"G-protein coupled receptors, Predicted membrane proteins","","","","","",Y,"",Y
BLOC1S2,Predicted intracellular proteins,"","","","","","","",""
SYCP2,"Disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
ZNF724,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
IL1RAP,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","","",Y,"","","","",Y
PTPRT,"Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins","","",Y,"","","","",Y
MYBPC1,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
PAX5,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors",Y,"","","","","",Y,""
OR5K4,"G-protein coupled receptors, Predicted membrane proteins","","","","","",Y,"",Y
OR6M1,"G-protein coupled receptors, Predicted membrane proteins","","","","","",Y,"",Y
SPOCK3,"Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
ZNF676,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ZNF699,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
TDRD7,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
CCDC189,Predicted intracellular proteins,"","","","","","","",""
OR8A1,"G-protein coupled receptors, Predicted membrane proteins","","","","","",Y,"",Y
KIAA0895L,Predicted intracellular proteins,"","","","","","","",""
HLA-DRB1,"Disease related genes, Human disease related genes, Plasma proteins, Predicted membrane proteins",Y,"","","","","","",Y
VN1R2,"G-protein coupled receptors, Predicted membrane proteins","","","","","",Y,"",Y
MYT1,"Plasma proteins, Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
SERPINA3,"Cancer-related genes, Candidate cardiovascular disease genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
AKR1C3,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","","",Y,"","","","",""
SPATS2L,Predicted intracellular proteins,"","","","","","","",""
ZNF250,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
WDSUB1,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
ZNF79,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
S100A4,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
PLEKHG4,Predicted intracellular proteins,"","","","","","","",""
KRTAP4-3,Predicted intracellular proteins,"","","","","","","",""
FAT4,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted membrane proteins",Y,"","","","","","",Y
KIF19,Predicted intracellular proteins,"","","","","","","",""
OR6K2,"G-protein coupled receptors, Predicted membrane proteins","","","","","",Y,"",Y
ZNF681,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ACADSB,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
STK40,"Enzymes, Predicted membrane proteins","","",Y,Y,"","","",Y
OR10J1,"G-protein coupled receptors, Predicted membrane proteins","","","","","",Y,"",Y
TMEM63A,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Y,"","","","","","",Y
CTSE,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"",Y,"","",""
SEMA4A,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Y,"","","","","","",Y
HRCT1,Predicted intracellular proteins,"","","","","","","",""
MPHOSPH8,Predicted intracellular proteins,"","","","","","","",""
GREB1,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
SIRPB2,Predicted membrane proteins,"","","","","","","",Y
ZNF766,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
RYR1,"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
SRGAP3,"Disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
KRTAP5-3,Predicted intracellular proteins,"","","","","","","",""
FAM217B,Predicted intracellular proteins,"","","","","","","",""
SULT1C3,"Enzymes, Predicted intracellular proteins","","",Y,"","","","",""
TUBB,"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Y,Y,"","","","","",""
LCOR,Predicted intracellular proteins,"","","","","","","",""
SUPT5H,Predicted intracellular proteins,"","","","","","","",""
XPNPEP3,"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"",Y,"","",""
OR2T2,"G-protein coupled receptors, Predicted membrane proteins","","","","","",Y,"",Y
OR2C3,"G-protein coupled receptors, Predicted membrane proteins","","","","","",Y,"",Y
ZNF107,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
OR10S1,"G-protein coupled receptors, Predicted membrane proteins","","","","","",Y,"",Y
SFTA2,"Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
PPIA,"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","",Y,Y,"","","","",""
ZNF471,"Cancer-related genes, Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ZNF836,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ZNF493,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
GTF2IRD2,"Disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
GRM7,"G-protein coupled receptors, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins","","","","","",Y,"",Y
SUPT3H,Predicted intracellular proteins,"","","","","","","",""
BECN2,Predicted intracellular proteins,"","","","","","","",""
NIF3L1,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
ATP2A1,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Y,Y,Y,"","","","",Y
IARS1,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
POM121,"Metabolic proteins, Predicted intracellular proteins, Transporters","","","","","","","",""
ZBTB44,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
GIMAP5,Predicted membrane proteins,"","","","","","","",Y
STK31,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,Y,"","","",""
CGB7,Predicted secreted proteins,"","","","","","","",""
NLGN3,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Y,"","","","","","",Y
OR8D1,"G-protein coupled receptors, Predicted membrane proteins","","","","","",Y,"",Y
ADH7,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
ZKSCAN7,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ZNF729,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
CD55,"Blood group antigen proteins, CD markers, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Y,"","","","","","",Y
CPNE4,Predicted intracellular proteins,"","","","","","","",""
ZNF565,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
NTNG2,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
ELAVL3,Predicted intracellular proteins,"","","","","","","",""
WDR5,Predicted intracellular proteins,"","","","","","","",""
LONP1,"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"",Y,"","",""
TRRAP,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
NUDT11,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
SRGAP2B,Predicted intracellular proteins,"","","","","","","",""
FUT4,"Metabolic proteins, Predicted membrane proteins","","","","","","","",Y
ASB13,Predicted intracellular proteins,"","","","","","","",""
SLC35F1,"Predicted membrane proteins, Transporters","","","","","","","",Y
ZNF34,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ZNF781,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ZNF140,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
INCA1,Predicted intracellular proteins,"","","","","","","",""
ZNF774,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
PTPN1,"Enzymes, Metabolic proteins, Predicted membrane proteins","","",Y,"","","","",Y
EVL,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
SPANXD,Predicted intracellular proteins,"","","","","","","",""
THEM5,"Enzymes, Predicted intracellular proteins","","",Y,"","","","",""
NOXO1,Predicted intracellular proteins,"","","","","","","",""
EPHB4,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Y,Y,Y,Y,"","","",Y
PRTN3,"Candidate cardiovascular disease genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins",Y,Y,Y,"",Y,"","",""
ZNF765,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ZNF124,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
XRCC6,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins","","","","","","","",""
S100A5,Predicted intracellular proteins,"","","","","","","",""
C20orf204,Predicted intracellular proteins,"","","","","","","",""
PPP1R26,Predicted intracellular proteins,"","","","","","","",""
NBPF4,Predicted intracellular proteins,"","","","","","","",""
TSC22D2,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
CRYBA4,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
ASMT,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
NPIPB15,Predicted membrane proteins,"","","","","","","",Y
ZNF569,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ARMCX4,Predicted intracellular proteins,"","","","","","","",""
YRDC,Predicted intracellular proteins,"","","","","","","",""
ZNF777,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
PIK3R4,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,Y,"","","",""
ZNF775,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ZNF605,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
TRAPPC2,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
RFX8,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
MYL6B,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
ZNF799,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
FGF16,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins, RAS pathway related proteins",Y,"","","","","","",""
SIAH1,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transporters","","",Y,"","","","",""
GK2,"Enzymes, Metabolic proteins, Plasma proteins, Predicted membrane proteins","","",Y,"","","","",Y
C20orf96,Predicted intracellular proteins,"","","","","","","",""
ESRRG,"FDA approved drug targets, Nuclear receptors, Predicted intracellular proteins, Transcription factors","",Y,"","","","",Y,""
IPO4,"Predicted intracellular proteins, Transporters","","","","","","","",""
NCOR2,"Cancer-related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
SULT1A1,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
ARL9,Predicted intracellular proteins,"","","","","","","",""
PRPF40A,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
GDAP2,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
TCEAL3,Predicted intracellular proteins,"","","","","","","",""
ANAPC7,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
TPK1,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins",Y,Y,Y,"","","","",""
SLC6A9,"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
AFAP1,Predicted intracellular proteins,"","","","","","","",""
NACA,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
MYO18A,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
OR2T3,"G-protein coupled receptors, Predicted membrane proteins","","","","","",Y,"",Y
SPTSSB,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
BORCS6,Predicted intracellular proteins,"","","","","","","",""
MAN2A2,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","","",Y,"","","","",Y
MME,"Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Y,Y,Y,"",Y,"","",Y
FAM72A,Predicted intracellular proteins,"","","","","","","",""
CCDC196,Predicted intracellular proteins,"","","","","","","",""
CACNA1H,"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins, Transporters, Voltage-gated ion channels",Y,Y,"","","","","",Y
SULF2,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
HBG2,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
LAMA2,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Y,"","","","","","",""
PFN3,Predicted intracellular proteins,"","","","","","","",""
PLXNB2,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
OR5AC2,"G-protein coupled receptors, Predicted membrane proteins","","","","","",Y,"",Y
AJAP1,Predicted membrane proteins,"","","","","","","",Y
XRCC2,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
MYO6,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
MRTFA,"Cancer-related genes, Disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
MBD3L2B,Predicted intracellular proteins,"","","","","","","",""
HDAC2,"Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins","",Y,Y,"","","","",""
ZNF782,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
SLC22A25,"Predicted membrane proteins, Transporters","","","","","","","",Y
POTEF,"Cancer-related genes, Predicted intracellular proteins","","","","","","","",""
ZNF846,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
MMP1,"Cancer-related genes, Candidate cardiovascular disease genes, Enzymes, Human disease related genes, Plasma proteins, Predicted secreted proteins","","",Y,"",Y,"","",""
ADH1B,"Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","",Y,Y,"","","","",""
UGT2B15,"Enzymes, Metabolic proteins, Predicted membrane proteins","","",Y,"","","","",Y
TCF4,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors",Y,"","","","","",Y,""
WNK3,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,Y,"","","",""
SDHAF3,Predicted intracellular proteins,"","","","","","","",""
HRH1,"FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins","",Y,"","","",Y,"",Y
RABL6,Predicted intracellular proteins,"","","","","","","",""
ZNF136,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ZKSCAN5,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ZNF502,"Plasma proteins, Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
TRAPPC4,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
TTC30B,Predicted intracellular proteins,"","","","","","","",""
SLC30A10,"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
TECPR2,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
TLR7,"FDA approved drug targets, Predicted membrane proteins","",Y,"","","","","",Y
FAM180B,Predicted secreted proteins,"","","","","","","",""
ZFP62,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ERI2,Predicted intracellular proteins,"","","","","","","",""
TOMM7,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
HSH2D,Predicted intracellular proteins,"","","","","","","",""
TRPV1,"FDA approved drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels","",Y,"","","","","",Y
ZNF33B,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ZNF512B,"Plasma proteins, Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
AMZ2,"Enzymes, Predicted intracellular proteins","","",Y,"",Y,"","",""
ZNF431,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ALKAL1,Predicted secreted proteins,"","","","","","","",""
NF1,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, RAS pathway related proteins",Y,"","","","","","",Y
VKORC1L1,"Enzymes, FDA approved drug targets, Predicted membrane proteins","",Y,Y,"","","","",Y
ZNF418,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
DAPK1,"Cancer-related genes, Enzymes, Human disease related genes, Metabolic proteins, Predicted membrane proteins","","",Y,Y,"","","",Y
LCE1B,Predicted intracellular proteins,"","","","","","","",""
